shared name,IDs_2,cor_2, pval_2,Extract,p.value.corrected,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17
73,501.340 1465 1 (ID: 162),-0.342263113369249,0.230980262669211,0.0007354798,1,0.0309969713,0.00337098,0.0208607767,0.0074068142,0.0005619174,0.0005222041,0.0007693063,0.0005856262,0.0006116135,0.0005790397,0.0004813538,0.0007542486,0.0002563136
74,503.275 1684 1 (ID: 189),-0.252612771664858,0.383576715384257,0.002094994,1,6.464336E-10,0.153317,0.06686691,0.004192848,0.00018987,0.00006609591,0.0001350426,0.0001476775,0.0000533475,0.0001003521,0.0001568621,0.0001555875,0.00006017893
75,503.275 1415 1 (ID: 584),0.115180455871784,0.694988301043906,0.0002547052,1,6.464336E-10,1.221705E-10,8.650469E-10,0.000008258553,3.672463E-11,0.00004926464,0.0001945967,0.00515072,0.00005015538,0.00002222734,0.00002543308,0.0000110396,0.000003274227
76,503.275 1556 1 (ID: 1046),-0.214719160157288,0.461021096002392,0.0005216137,1,6.464336E-10,0.006276603,0.0835335,0.0008294493,0.00001424284,0.000001943972,0.000001088491,0.000005307041,3.132689E-11,0.00000604265,0.00001283163,0.000007343178,0.000001831601
77,505.291 1779 1 (ID: 1056),-0.219683605973258,0.450466936535892,0.0002653545,1,0.0004270028,0.05172722,0.01022684,0.0006177841,0.000009372797,0.000004186163,0.00001833862,0.00001430715,0.000001130846,0.000005271471,0.00001638106,0.0000180655,0.000002153512
78,505.291 1651 1 (ID: 1053),-0.277328473934163,0.337088289593551,0.00007256453,1,6.464336E-10,0.01022419,0.009481344,0.00006782703,3.672463E-11,3.209307E-11,0.000001201655,2.981473E-11,3.132689E-11,2.94577E-11,2.546485E-11,2.382878E-11,1.845665E-11
79,519.269 1374 1 (ID: 27),0.107173949136097,0.71535489068981,0.0008674157,1,6.464336E-10,0.008868465,0.0009228474,0.000190529,3.672463E-11,3.209307E-11,0.00002976348,0.004986674,0.002510288,0.00002372457,0.00004624453,0.0000252978,0.00003737817
80,519.269 1594 1 (ID: 1039),-0.212896858710222,0.464925063298009,2.445946E-11,1,6.464336E-10,0.01038075,0.001000688,0.0007941632,3.672463E-11,3.209307E-11,3.621885E-11,2.981473E-11,3.132689E-11,2.94577E-11,2.546485E-11,2.382878E-11,1.845665E-11
81,521.273 1188 1 (ID: 192),-0.0561341312084854,0.848838178848428,0.001353078,1,6.464336E-10,1.221705E-10,0.00002137841,3.423586E-10,0.03475244,0.0002337097,0.0001335246,0.00004031202,0.00002451013,0.00005856477,0.00008682252,0.00005011973,0.00002779664
82,531.310 1559 1 (ID: 578),0.177862129830118,0.542965363773759,0.00006669988,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,3.209307E-11,3.621885E-11,0.000996959,0.00007065879,2.94577E-11,0.000001051577,2.382878E-11,1.845665E-11
83,537.249 1181 1 (ID: 56),-0.0589976882843228,0.841214057229307,0.004992992,1,6.464336E-10,1.221705E-10,0.0000189562,3.423586E-10,0.1038433,0.004465323,0.000619558,0.0002903276,0.0001032652,0.0002108819,0.0003411513,0.0002961678,0.00009895206
84,537.250 1346 1 (ID: 1121),-0.133926510545118,0.648064263703473,0.0002284473,1,6.464336E-10,1.221705E-10,8.650469E-10,0.003109368,0.006804494,0.00004631452,0.0000177965,0.00001255578,0.0000007590219,0.000002424196,0.00000982224,0.000004829409,1.845665E-11
85,541.314 1404 1 (ID: 257),-0.0519316051110862,0.860049364942227,0.0007070954,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,0.00008739667,0.01437537,0.001739299,0.0002100316,0.00003509456,0.00006852661,0.000031028,0.00003044466
86,545.363 1432 1 (ID: 349),-0.320829422477354,0.263393855730884,0.0004747613,1,0.0408016975,0.0034217277,0.0205614252,0.0069984851,0.0005164033,0.0005322889,0.0008774673,0.0006835037,0.0006938423,0.0006551129,0.0005782199,0.0007819692,0.0002975199
87,547.288 1043 1 (ID: 385),-0.126481236750693,0.666567020902345,0.0002352006,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,0.00016706,0.001955236,0.0002183127,0.00005081549,0.0000008824632,2.94577E-11,2.546485E-11,0.0000006623839,0.0000005744771
88,553.243 950 1 (ID: 445),-0.0637432912891288,0.828607782441757,0.000282152,1,6.464336E-10,1.221705E-10,8.650469E-10,3.423586E-10,3.672463E-11,0.000008600418,0.008499868,0.0007293393,0.00007919312,0.0000130831,0.00001542489,0.0000142053,1.845665E-11
